Ano de Exercício;Mês - Numérico;Mês - Descritivo;Mês - Descrição Resumida;Mês/Ano - Numérico;Ano/Mês - Numérico;Mês/Ano - Descritivo;Bimestre - Numérico;Bimestre - Descritivo;Trimestre - Numérico;Trimestre - Descritivo;Quadrimestre - Numérico;Quadrimestre - Descritivo;Semestre - Numérico;Semestre - Descritivo
2019;9;SETEMBRO;SET;set/19;201909;SETEMBRO DE 2019;5;5º BIMESTRE ;3;3º TRIMESTRE ;3;3º QUADRIMESTRE ;2;2º SEMESTRE 
2019;10;OUTUBRO;OUT;out/19;201910;OUTUBRO DE 2019;5;5º BIMESTRE ;4;4º TRIMESTRE ;3;3º QUADRIMESTRE ;2;2º SEMESTRE 
2019;11;NOVEMBRO;NOV;nov/19;201911;NOVEMBRO DE 2019;6;6º BIMESTRE ;4;4º TRIMESTRE ;3;3º QUADRIMESTRE ;2;2º SEMESTRE 
2019;12;DEZEMBRO;DEZ;dez/19;201912;DEZEMBRO DE 2019;6;6º BIMESTRE ;4;4º TRIMESTRE ;3;3º QUADRIMESTRE ;2;2º SEMESTRE 
2020;3;MARÇO;MAR;mar/20;202003;MARÇO DE 2020;2;2º BIMESTRE ;1;1º TRIMESTRE ;1;1º QUADRIMESTRE ;1;1º SEMESTRE 
2020;4;ABRIL;ABR;abr/20;202004;ABRIL DE 2020;2;2º BIMESTRE ;2;2º TRIMESTRE ;1;1º QUADRIMESTRE ;1;1º SEMESTRE 
2020;5;MAIO;MAI;mai/20;202005;MAIO DE 2020;3;3º BIMESTRE ;2;2º TRIMESTRE ;2;2º QUADRIMESTRE ;1;1º SEMESTRE 
2020;6;JUNHO;JUN;jun/20;202006;JUNHO DE 2020;3;3º BIMESTRE ;2;2º TRIMESTRE ;2;2º QUADRIMESTRE ;1;1º SEMESTRE 
2020;7;JULHO;JUL;jul/20;202007;JULHO DE 2020;4;4º BIMESTRE ;3;3º TRIMESTRE ;2;2º QUADRIMESTRE ;2;2º SEMESTRE 
2020;8;AGOSTO;AGO;ago/20;202008;AGOSTO DE 2020;4;4º BIMESTRE ;3;3º TRIMESTRE ;2;2º QUADRIMESTRE ;2;2º SEMESTRE 
2020;9;SETEMBRO;SET;set/20;202009;SETEMBRO DE 2020;5;5º BIMESTRE ;3;3º TRIMESTRE ;3;3º QUADRIMESTRE ;2;2º SEMESTRE 
2020;10;OUTUBRO;OUT;out/20;202010;OUTUBRO DE 2020;5;5º BIMESTRE ;4;4º TRIMESTRE ;3;3º QUADRIMESTRE ;2;2º SEMESTRE 
2020;11;NOVEMBRO;NOV;nov/20;202011;NOVEMBRO DE 2020;6;6º BIMESTRE ;4;4º TRIMESTRE ;3;3º QUADRIMESTRE ;2;2º SEMESTRE 
2020;12;DEZEMBRO;DEZ;dez/20;202012;DEZEMBRO DE 2020;6;6º BIMESTRE ;4;4º TRIMESTRE ;3;3º QUADRIMESTRE ;2;2º SEMESTRE 
2021;2;FEVEREIRO;FEV;fev/21;202102;FEVEREIRO DE 2021;1;1º BIMESTRE ;1;1º TRIMESTRE ;1;1º QUADRIMESTRE ;1;1º SEMESTRE 
2021;3;MARÇO;MAR;mar/21;202103;MARÇO DE 2021;2;2º BIMESTRE ;1;1º TRIMESTRE ;1;1º QUADRIMESTRE ;1;1º SEMESTRE 
